City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Ushuaia,AR,50.0,broken clouds,-54.8,-68.3,Albatros Hotel
2,Hermanus,ZA,52.0,clear sky,-34.42,19.23,Misty Waves Boutique Hotel
3,Bluff,NZ,64.99,overcast clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
4,Georgetown,MY,77.0,few clouds,5.41,100.34,Cititel Penang
5,Matara,LK,78.6,light rain,5.95,80.54,Amaloh Boutique Resort
6,Faanui,PF,79.11,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
8,Kaitangata,NZ,59.63,overcast clouds,-46.28,169.85,Kaitangata Motor Camp
10,Rikitea,PF,74.46,overcast clouds,-23.12,-134.97,Pension Maro'i
11,Vaini,TO,75.2,broken clouds,-21.2,-175.2,Keleti Beach Resort
15,East London,ZA,63.18,clear sky,-33.02,27.91,Tu Casa
16,Arraial Do Cabo,BR,72.97,few clouds,-22.97,-42.03,Pousada Porto Praia
17,Ambilobe,MG,70.48,few clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
20,Cape Town,ZA,59.0,clear sky,-33.93,18.42,Southern Sun Waterfront Cape Town
21,Bredasdorp,ZA,57.2,clear sky,-34.53,20.04,Bredasdorp Country Manor
26,Hasaki,JP,68.0,light rain,35.73,140.83,Inubosaki Kanko Hotel
27,Atuona,PF,77.95,clear sky,-9.8,-139.03,Villa Enata
29,Quincy,US,66.99,scattered clouds,42.25,-71.0,Marriott Boston Quincy
30,Jamestown,US,54.0,overcast clouds,42.1,-79.24,Hampton Inn & Suites Jamestown
34,Dongying,CN,57.72,clear sky,37.46,118.49,Wanda Realm
35,Ban Tak,TH,73.4,broken clouds,17.04,99.08,NIDA Rooms Legend BanTak 83
36,Plouzane,FR,55.4,overcast clouds,48.38,-4.62,Résidence Nemea Iroise Armorique
41,Gunnedah,AU,68.0,overcast clouds,-30.98,150.25,Gunnedah Motor Inn
46,Harper,LR,77.43,overcast clouds,4.38,-7.72,Screensaver
47,Changping,CN,57.0,clear sky,40.22,116.22,Huachang Hotel
50,Sambava,MG,73.78,overcast clouds,-14.27,50.17,Melrose
51,Nikko,JP,60.8,moderate rain,36.75,139.62,Nikko Senhime Monogatari
53,Alofi,NU,77.0,broken clouds,-19.06,-169.92,Taloa Heights
55,Manvi,IN,72.25,overcast clouds,15.98,77.05,My Manvi Home : AKSHAYA NILAYA
56,Vicente Guerrero,MX,66.2,scattered clouds,19.12,-98.17,Mi casita en puebla
58,Te Anau,NZ,55.11,overcast clouds,-45.42,167.72,Kingsgate Hotel Te Anau
59,Pokhara,NP,63.9,clear sky,28.23,83.98,Hotel View Point
61,Najran,SA,62.6,overcast clouds,17.49,44.13,محمد هادي ال فطيح
63,Port Macquarie,AU,73.4,broken clouds,-31.43,152.92,Rydges Port Macquarie
64,Mar Del Plata,AR,54.0,clear sky,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
66,Bhatkal,IN,77.02,light rain,13.97,74.57,SPOT ON 61793 Chaya Residency SPOT
70,Bethel,US,64.99,overcast clouds,41.37,-73.41,Courtyard by Marriott Danbury
71,Cap Malheureux,MU,71.01,light rain,-19.98,57.61,Pereybere Hotel & Spa
73,Bandarbeyla,SO,79.56,overcast clouds,9.49,50.81,REER XOOSHLE GROUP
75,Namibe,AO,70.09,broken clouds,-15.2,12.15,Hotel Chik Chik Namibe
