City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Ushuaia,AR,-54.8,-68.3,50.0,57,75,11.41,broken clouds
1,Laguna,US,38.42,-121.42,86.0,28,1,2.91,clear sky
2,Hermanus,ZA,-34.42,19.23,52.0,95,0,8.23,clear sky
3,Bluff,NZ,-46.6,168.33,64.99,50,86,3.0,overcast clouds
4,Georgetown,MY,5.41,100.34,77.0,83,20,5.82,few clouds
5,Matara,LK,5.95,80.54,78.6,86,5,10.18,light rain
6,Faanui,PF,-16.48,-151.75,79.11,76,5,11.27,clear sky
7,Dikson,RU,73.51,80.55,23.5,96,97,11.12,overcast clouds
8,Kaitangata,NZ,-46.28,169.85,59.63,49,98,7.11,overcast clouds
9,Prince Rupert,CA,54.32,-130.32,44.6,75,1,4.7,clear sky
10,Rikitea,PF,-23.12,-134.97,74.46,71,100,4.09,overcast clouds
11,Vaini,TO,-21.2,-175.2,75.2,73,75,10.29,broken clouds
12,Sao Filipe,CV,14.9,-24.5,81.16,74,64,4.79,broken clouds
13,Belyy Yar,RU,53.6,91.39,23.0,92,87,2.24,overcast clouds
14,Thompson,CA,55.74,-97.86,24.8,85,75,2.24,light snow
15,East London,ZA,-33.02,27.91,63.18,81,0,12.1,clear sky
16,Arraial Do Cabo,BR,-22.97,-42.03,72.97,88,19,14.54,few clouds
17,Ambilobe,MG,-13.2,49.05,70.48,77,11,3.58,few clouds
18,Qaanaaq,GL,77.48,-69.36,20.05,84,100,7.0,overcast clouds
19,Pervomayskoye,RU,43.92,46.71,48.33,65,100,5.21,overcast clouds
20,Cape Town,ZA,-33.93,18.42,59.0,87,0,14.99,clear sky
21,Bredasdorp,ZA,-34.53,20.04,57.2,87,0,3.36,clear sky
22,Port Blair,IN,11.67,92.75,81.64,83,98,11.3,overcast clouds
23,Chapleau,CA,47.84,-83.4,35.6,93,90,6.93,mist
24,Nikolskoye,RU,59.7,30.79,39.2,93,90,6.71,mist
25,Saskylakh,RU,71.92,114.08,6.04,93,10,6.91,clear sky
26,Hasaki,JP,35.73,140.83,68.0,82,75,6.93,light rain
27,Atuona,PF,-9.8,-139.03,77.95,71,0,16.26,clear sky
28,Fairbanks,US,64.84,-147.72,26.6,86,90,3.36,overcast clouds
29,Quincy,US,42.25,-71.0,66.99,100,36,14.99,scattered clouds
30,Jamestown,US,42.1,-79.24,54.0,93,90,5.82,overcast clouds
31,Kapaa,US,22.08,-159.32,84.2,66,75,5.82,broken clouds
32,Choix,MX,26.71,-108.32,84.18,43,0,2.59,clear sky
33,Iqaluit,CA,63.75,-68.51,30.2,80,90,2.24,overcast clouds
34,Dongying,CN,37.46,118.49,57.72,34,0,10.31,clear sky
35,Ban Tak,TH,17.04,99.08,73.4,100,75,1.45,broken clouds
36,Plouzane,FR,48.38,-4.62,55.4,93,90,6.93,overcast clouds
37,Zhigansk,RU,66.77,123.37,15.98,96,92,1.05,overcast clouds
38,Albany,US,42.6,-73.97,66.99,82,100,2.77,overcast clouds
39,Saint George,US,37.1,-113.58,82.4,10,1,3.36,clear sky
40,Havre-Saint-Pierre,CA,50.23,-63.6,35.6,100,90,10.29,overcast clouds
41,Gunnedah,AU,-30.98,150.25,68.0,77,90,6.93,overcast clouds
42,Klaksvik,FO,62.23,-6.59,32.0,65,87,2.24,overcast clouds
43,Sitka,US,57.05,-135.33,39.2,38,1,8.05,clear sky
44,Punta Arenas,CL,-53.15,-70.92,48.2,61,90,4.7,overcast clouds
45,Pevek,RU,69.7,170.31,29.8,97,16,3.89,few clouds
46,Harper,LR,4.38,-7.72,77.43,88,94,6.46,overcast clouds
47,Changping,CN,40.22,116.22,57.0,23,0,11.01,clear sky
48,Radhanpur,IN,23.83,71.6,81.41,62,26,7.52,scattered clouds
49,Novikovo,RU,51.15,37.89,44.82,82,100,4.45,overcast clouds
50,Sambava,MG,-14.27,50.17,73.78,80,94,12.48,overcast clouds
51,Nikko,JP,36.75,139.62,60.8,63,75,2.24,moderate rain
52,Teacapan,MX,22.55,-105.75,83.68,81,2,7.74,clear sky
53,Alofi,NU,-19.06,-169.92,77.0,83,75,19.46,broken clouds
54,Omsukchan,RU,62.53,155.8,19.08,92,0,6.69,clear sky
55,Manvi,IN,15.98,77.05,72.25,92,100,2.01,overcast clouds
56,Vicente Guerrero,MX,19.12,-98.17,66.2,39,40,10.29,scattered clouds
57,Paamiut,GL,61.99,-49.67,33.37,84,0,24.76,clear sky
58,Te Anau,NZ,-45.42,167.72,55.11,63,100,5.28,overcast clouds
59,Pokhara,NP,28.23,83.98,63.9,34,0,5.08,clear sky
60,Provideniya,RU,64.38,-173.3,41.0,86,90,4.47,overcast clouds
61,Najran,SA,17.49,44.13,62.6,25,100,2.24,overcast clouds
62,Skjervoy,NO,70.03,20.97,33.71,86,0,20.45,clear sky
63,Port Macquarie,AU,-31.43,152.92,73.4,56,63,8.05,broken clouds
64,Mar Del Plata,AR,-38.0,-57.56,54.0,76,0,12.75,clear sky
65,Okhotsk,RU,59.38,143.3,35.4,90,100,30.06,light rain
66,Bhatkal,IN,13.97,74.57,77.02,84,100,4.07,light rain
67,Yellowknife,CA,62.46,-114.35,24.8,73,90,18.34,light snow
68,Hithadhoo,MV,-0.6,73.08,82.56,74,8,13.31,clear sky
69,Vorobyevka,RU,50.65,40.92,40.78,80,100,8.7,light rain
70,Bethel,US,41.37,-73.41,64.99,93,90,3.36,overcast clouds
71,Cap Malheureux,MU,-19.98,57.61,71.01,83,55,3.0,light rain
72,Norman Wells,CA,65.28,-126.83,23.0,85,75,12.75,broken clouds
73,Bandarbeyla,SO,9.49,50.81,79.56,62,95,4.94,overcast clouds
74,Ukiah,US,39.15,-123.21,84.2,25,1,6.93,clear sky
75,Namibe,AO,-15.2,12.15,70.09,80,65,2.71,broken clouds
76,Port Elizabeth,ZA,-33.92,25.57,55.4,93,0,3.36,clear sky
77,Beringovskiy,RU,63.05,179.32,41.23,77,86,7.0,overcast clouds
