City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Esperance,AU,2020-10-15 03:20:45,-33.87,121.9,60.8,100,75,13.87
1,Yellowknife,CA,2020-10-15 03:19:21,62.46,-114.35,24.8,58,75,20.8
2,Raudeberg,NO,2020-10-15 03:21:57,61.99,5.14,44.01,86,0,6.93
3,Mataura,NZ,2020-10-15 03:21:58,-46.19,168.86,57.0,45,0,5.99
4,Magistralnyy,RU,2020-10-15 03:21:58,56.17,107.45,38.05,74,93,8.72
5,Punta Arenas,CL,2020-10-15 03:21:58,-53.15,-70.92,46.4,61,75,12.75
6,Aguimes,ES,2020-10-15 03:21:58,27.91,-15.45,69.8,77,40,11.41
7,Vaini,TO,2020-10-15 03:21:58,-21.2,-175.2,77.0,69,75,8.05
8,Kapaa,US,2020-10-15 03:21:59,22.08,-159.32,80.6,78,90,3.36
9,Ostrovnoy,RU,2020-10-15 03:21:59,68.05,39.51,33.17,94,96,7.61
10,Tocopilla,CL,2020-10-15 03:19:31,-22.09,-70.2,60.12,62,12,0.83
11,Alofi,NU,2020-10-15 03:19:44,-19.06,-169.92,77.0,69,75,17.22
12,Araci,BR,2020-10-15 03:21:59,-11.33,-38.97,68.07,92,0,8.12
13,Beira,MZ,2020-10-15 03:21:59,-19.84,34.84,75.2,73,75,14.99
14,Cherskiy,RU,2020-10-15 03:19:25,68.75,161.3,34.11,86,99,6.87
15,Toumodi,CI,2020-10-15 03:22:00,6.56,-5.02,75.0,94,100,4.0
16,Lahaina,US,2020-10-15 03:22:00,20.88,-156.68,86.0,55,40,6.93
17,Hobart,AU,2020-10-15 03:17:54,-42.88,147.33,62.6,59,75,18.34
18,Klaksvik,FO,2020-10-15 03:22:00,62.23,-6.59,42.8,87,98,4.83
19,Jamestown,US,2020-10-15 03:22:00,42.1,-79.24,57.0,50,1,10.29
20,Bairiki,KI,2020-10-15 03:22:00,1.33,172.98,86.0,70,75,12.75
21,Oktyabrskiy,RU,2020-10-15 03:22:01,54.48,53.47,45.41,54,53,6.78
22,Gobabis,NA,2020-10-15 03:22:01,-22.45,18.97,64.09,33,0,14.07
23,Butaritari,KI,2020-10-15 03:22:01,3.07,172.79,82.18,75,68,9.4
24,Barrow,US,2020-10-15 03:19:19,71.29,-156.79,26.6,63,75,10.29
25,Souillac,MU,2020-10-15 03:22:01,-20.52,57.52,71.6,88,40,3.36
26,Rikitea,PF,2020-10-15 03:20:38,-23.12,-134.97,74.01,80,89,17.81
27,Provideniya,RU,2020-10-15 03:22:02,64.38,-173.3,41.0,86,90,15.66
28,Vardo,NO,2020-10-15 03:19:40,70.37,31.11,35.6,80,75,17.22
29,Dikson,RU,2020-10-15 03:22:02,73.51,80.55,29.5,91,98,20.87
30,Yulara,AU,2020-10-15 03:22:02,-25.24,130.99,89.6,8,0,9.17
31,Port Elizabeth,ZA,2020-10-15 03:22:02,-33.92,25.57,51.8,93,0,3.36
32,Puerto Ayora,EC,2020-10-15 03:19:21,-0.74,-90.35,68.0,97,90,1.01
33,Broome,US,2020-10-15 03:22:02,42.25,-75.83,50.0,73,100,4.0
34,Apatou,GF,2020-10-15 03:22:03,5.16,-54.35,75.63,86,0,4.32
35,Rasuceni,RO,2020-10-15 03:22:03,44.09,25.66,46.4,87,65,1.12
36,Karratha,AU,2020-10-15 03:20:01,-20.74,116.85,95.59,20,0,13.18
37,Port Said,EG,2020-10-15 03:22:03,31.26,32.28,77.0,83,12,11.41
38,Half Moon Bay,US,2020-10-15 03:22:03,37.46,-122.43,80.6,67,75,6.82
39,Upernavik,GL,2020-10-15 03:19:13,72.79,-56.15,31.93,92,68,3.56
40,Ushuaia,AR,2020-10-15 03:21:01,-54.8,-68.3,44.6,85,75,8.05
41,Chokurdakh,RU,2020-10-15 03:19:39,70.63,147.92,20.37,98,100,1.83
42,Thunder Bay,CA,2020-10-15 03:17:38,48.4,-89.32,37.4,93,90,14.99
43,Takab,IR,2020-10-15 03:22:04,36.4,47.11,43.18,50,57,1.83
44,Bluff,NZ,2020-10-15 03:22:04,-46.6,168.33,57.0,45,0,5.99
45,Gushikawa,JP,2020-10-15 03:22:04,26.35,127.87,84.2,58,75,10.29
46,Ouango,CF,2020-10-15 03:22:04,4.31,22.56,69.57,95,99,2.13
47,Kindu,CD,2020-10-15 03:22:04,-2.95,25.95,69.75,97,98,2.13
48,New Norfolk,AU,2020-10-15 03:17:25,-42.78,147.06,62.6,59,75,18.34
49,Clyde River,CA,2020-10-15 03:22:05,70.47,-68.59,23.0,92,90,5.82
50,Avarua,CK,2020-10-15 03:22:05,-21.21,-159.78,73.4,53,59,5.82
51,East London,ZA,2020-10-15 03:22:05,-33.02,27.91,58.89,63,0,5.39
52,Victoria,HK,2020-10-15 03:17:25,22.29,114.16,82.0,70,100,3.0
53,Lavrentiya,RU,2020-10-15 03:22:05,65.58,-171.0,33.96,90,100,12.82
54,Rocha,UY,2020-10-15 03:22:06,-34.48,-54.33,51.15,92,0,3.04
55,Luderitz,NA,2020-10-15 03:17:26,-26.65,15.16,69.76,30,0,12.46
56,Pevek,RU,2020-10-15 03:22:06,69.7,170.31,33.35,89,100,21.27
57,Kodiak,US,2020-10-15 03:22:06,57.79,-152.41,46.4,87,75,4.7
58,Saint George,US,2020-10-15 03:21:32,37.1,-113.58,80.6,13,1,3.36
59,Saskylakh,RU,2020-10-15 03:19:24,71.92,114.08,19.99,96,100,17.69
60,San Jeronimo,PE,2020-10-15 03:22:06,-11.95,-75.28,52.38,59,41,2.66
61,San Cristobal,VE,2020-10-15 03:19:30,7.77,-72.22,64.94,84,80,1.03
62,Hirara,JP,2020-10-15 03:22:07,24.8,125.28,84.2,69,40,16.11
63,Rongcheng,CN,2020-10-15 03:22:07,30.63,117.85,61.7,89,100,7.49
64,Hami,CN,2020-10-15 03:22:07,42.8,93.45,52.09,42,0,11.61
65,Hilo,US,2020-10-15 03:22:07,19.73,-155.09,82.4,69,90,9.17
66,Denpasar,ID,2020-10-15 03:21:14,-8.65,115.22,87.8,74,20,11.41
67,Nome,US,2020-10-15 03:22:07,64.5,-165.41,33.8,59,90,6.93
68,Georgetown,MY,2020-10-15 03:22:08,5.41,100.34,86.0,78,20,4.7
69,Luanda,AO,2020-10-15 03:22:08,-8.84,13.23,75.2,78,40,4.7
70,Nador,MA,2020-10-15 03:22:08,35.17,-2.93,66.2,59,0,9.17
71,Kenai,US,2020-10-15 03:17:30,60.55,-151.26,42.8,100,90,6.93
72,Albany,US,2020-10-15 03:20:09,42.6,-73.97,48.99,64,82,2.21
73,Nago,JP,2020-10-15 03:22:08,26.59,127.98,84.2,58,20,9.17
74,General Roca,AR,2020-10-15 03:22:08,-39.03,-67.58,62.6,39,0,3.36
75,Kotelnikovo,RU,2020-10-15 03:22:09,47.63,43.15,50.16,90,0,7.87
76,Methoni,GR,2020-10-15 03:22:09,36.82,21.7,63.0,93,0,2.51
77,Bilibino,RU,2020-10-15 03:22:09,68.05,166.44,25.3,94,88,3.11
78,Saurimo,AO,2020-10-15 03:22:09,-9.66,20.39,64.58,95,92,1.5
79,Caravelas,BR,2020-10-15 03:22:09,-17.71,-39.25,74.43,84,0,10.98
80,Fortuna,US,2020-10-15 03:20:00,40.6,-124.16,57.99,87,1,6.93
81,Waipawa,NZ,2020-10-15 03:22:09,-41.41,175.52,53.01,57,71,23.04
82,Kloulklubed,PW,2020-10-15 03:22:10,7.04,134.26,80.6,83,90,5.82
83,Talnakh,RU,2020-10-15 03:22:10,69.49,88.4,23.0,100,75,20.13
84,Qaanaaq,GL,2020-10-15 03:22:10,77.48,-69.36,32.68,84,8,7.99
85,Jishou,CN,2020-10-15 03:22:10,28.32,109.72,57.13,90,100,3.74
86,Jelgava,LV,2020-10-15 03:22:10,56.65,23.71,44.6,100,90,9.17
87,Khatanga,RU,2020-10-15 03:20:05,71.97,102.5,13.84,96,86,9.48
88,Salta,AR,2020-10-15 03:19:45,-24.79,-65.41,68.0,42,75,10.29
89,Mackay,AU,2020-10-15 03:22:11,-21.15,149.2,79.0,57,5,21.92
90,Richards Bay,ZA,2020-10-15 03:22:11,-28.78,32.04,62.87,76,0,11.79
91,Ancud,CL,2020-10-15 03:22:11,-41.87,-73.82,44.01,86,48,4.7
92,Arraial Do Cabo,BR,2020-10-15 03:22:11,-22.97,-42.03,72.19,93,15,15.55
93,Atuona,PF,2020-10-15 03:20:22,-9.8,-139.03,77.92,75,1,20.45
94,Severo-Kurilsk,RU,2020-10-15 03:19:40,50.68,156.12,46.4,60,10,26.11
95,Ketchikan,US,2020-10-15 03:22:12,55.34,-131.65,42.8,87,20,3.36
96,Cape Town,ZA,2020-10-15 03:22:12,-33.93,18.42,59.0,100,75,8.05
97,Gubbi,IN,2020-10-15 03:22:12,13.31,76.94,70.43,85,83,13.09
98,Payson,US,2020-10-15 03:19:18,40.04,-111.73,57.2,47,1,12.75
99,Hermanus,ZA,2020-10-15 03:22:12,-34.42,19.23,55.99,95,4,4.12
100,Hasaki,JP,2020-10-15 03:19:14,35.73,140.83,62.6,93,75,17.22
101,Kota Belud,MY,2020-10-15 03:22:13,6.35,116.43,82.4,78,40,6.93
102,Bambous Virieux,MU,2020-10-15 03:22:13,-20.34,57.76,75.99,88,40,3.36
103,Lumphat,KH,2020-10-15 03:22:13,13.49,106.98,84.72,77,100,1.12
104,Saint-Denis,FR,2020-10-15 03:22:13,48.92,2.33,48.0,87,90,6.93
105,Paamiut,GL,2020-10-15 03:22:13,61.99,-49.67,38.16,77,97,10.16
106,Kalangala,UG,2020-10-15 03:22:14,-0.31,32.23,69.67,78,7,8.32
107,Homer,US,2020-10-15 03:22:14,59.64,-151.55,46.99,70,75,4.7
108,Balykshi,KZ,2020-10-15 03:22:14,47.07,51.87,51.8,57,62,13.42
109,Ishigaki,JP,2020-10-15 03:22:14,24.34,124.16,84.2,79,40,20.8
110,Belmonte,BR,2020-10-15 03:22:14,-15.86,-38.88,73.4,83,29,5.82
111,Fort Portal,UG,2020-10-15 03:22:14,0.66,30.27,59.09,94,78,1.23
112,Tiquicheo,MX,2020-10-15 03:22:15,18.88,-100.73,76.08,81,72,1.21
113,Carnarvon,AU,2020-10-15 03:17:25,-24.87,113.63,73.4,53,40,21.92
114,Port Alfred,ZA,2020-10-15 03:19:25,-33.59,26.89,59.05,67,0,5.44
115,Tuktoyaktuk,CA,2020-10-15 03:19:42,69.45,-133.04,24.8,79,90,11.41
